,Survived,Pclass,Sex,Age,Ticket,Fare,Embarked,family
255,1,3,0,29.0,2650,15.2458,C,2
256,1,1,0,29.69911764705882,PC 17585,79.2,C,0
257,1,1,0,30.0,110152,86.5,S,0
258,1,1,0,35.0,PC 17755,512.3292,C,0
259,1,2,0,50.0,230433,26.0,S,1
260,0,3,1,29.69911764705882,384461,7.75,Q,0
261,1,3,1,3.0,347077,31.3875,S,6
262,0,1,1,52.0,110413,79.65,S,2
263,0,1,1,40.0,112059,0.0,S,0
264,0,3,0,29.69911764705882,382649,7.75,Q,0
265,0,2,1,36.0,C.A. 17248,10.5,S,0
266,0,3,1,16.0,3101295,39.6875,S,5
267,1,3,1,25.0,347083,7.775,S,1
268,1,1,0,58.0,PC 17582,153.4625,S,1
269,1,1,0,35.0,PC 17760,135.6333,S,0
270,0,1,1,29.69911764705882,113798,31.0,S,0
271,1,3,1,25.0,LINE,0.0,S,0
272,1,2,0,41.0,250644,19.5,S,1
273,0,1,1,37.0,PC 17596,29.7,C,1
274,1,3,0,29.69911764705882,370375,7.75,Q,0
275,1,1,0,63.0,13502,77.9583,S,1
276,0,3,0,45.0,347073,7.75,S,0
277,0,2,1,29.69911764705882,239853,0.0,S,0
278,0,3,1,7.0,382652,29.125,Q,5
279,1,3,0,35.0,C.A. 2673,20.25,S,2
280,0,3,1,65.0,336439,7.75,Q,0
281,0,3,1,28.0,347464,7.8542,S,0
282,0,3,1,16.0,345778,9.5,S,0
283,1,3,1,19.0,A/5. 10482,8.05,S,0
284,0,1,1,29.69911764705882,113056,26.0,S,0
285,0,3,1,33.0,349239,8.6625,C,0
286,1,3,1,30.0,345774,9.5,S,0
287,0,3,1,22.0,349206,7.8958,S,0
288,1,2,1,42.0,237798,13.0,S,0
289,1,3,0,22.0,370373,7.75,Q,0
290,1,1,0,26.0,19877,78.85,S,0
291,1,1,0,19.0,11967,91.0792,C,1
292,0,2,1,36.0,SC/Paris 2163,12.875,C,0
293,0,3,0,24.0,349236,8.85,S,0
294,0,3,1,24.0,349233,7.8958,S,0
295,0,1,1,29.69911764705882,PC 17612,27.7208,C,0
296,0,3,1,23.5,2693,7.2292,C,0
297,0,1,0,2.0,113781,151.55,S,3
298,1,1,1,29.69911764705882,19988,30.5,S,0
299,1,1,0,50.0,PC 17558,247.5208,C,1
300,1,3,0,29.69911764705882,9234,7.75,Q,0
301,1,3,1,29.69911764705882,367226,23.25,Q,2
302,0,3,1,19.0,LINE,0.0,S,0
303,1,2,0,29.69911764705882,226593,12.35,Q,0
304,0,3,1,29.69911764705882,A/5 2466,8.05,S,0
305,1,1,1,0.92,113781,151.55,S,3
306,1,1,0,29.69911764705882,17421,110.8833,C,0
307,1,1,0,17.0,PC 17758,108.9,C,1
308,0,2,1,30.0,P/PP 3381,24.0,C,1
309,1,1,0,30.0,PC 17485,56.9292,C,0
310,1,1,0,24.0,11767,83.1583,C,0
311,1,1,0,18.0,PC 17608,262.375,C,4
312,0,2,0,26.0,250651,26.0,S,2
313,0,3,1,28.0,349243,7.8958,S,0
314,0,2,1,43.0,F.C.C. 13529,26.25,S,2
315,1,3,0,26.0,347470,7.8542,S,0
316,1,2,0,24.0,244367,26.0,S,1
317,0,2,1,54.0,29011,14.0,S,0
318,1,1,0,31.0,36928,164.8667,S,2
319,1,1,0,40.0,16966,134.5,C,2
320,0,3,1,22.0,A/5 21172,7.25,S,0
321,0,3,1,27.0,349219,7.8958,S,0
322,1,2,0,30.0,234818,12.35,Q,0
323,1,2,0,22.0,248738,29.0,S,2
324,0,3,1,29.69911764705882,CA. 2343,69.55,S,10
325,1,1,0,36.0,PC 17760,135.6333,C,0
326,0,3,1,61.0,345364,6.2375,S,0
327,1,2,0,36.0,28551,13.0,S,0
328,1,3,0,31.0,363291,20.525,S,2
329,1,1,0,16.0,111361,57.9792,C,1
330,1,3,0,29.69911764705882,367226,23.25,Q,2
331,0,1,1,45.5,113043,28.5,S,0
332,0,1,1,38.0,PC 17582,153.4625,S,1
333,0,3,1,16.0,345764,18.0,S,2
334,1,1,0,29.69911764705882,PC 17611,133.65,S,1
335,0,3,1,29.69911764705882,349225,7.8958,S,0
336,0,1,1,29.0,113776,66.6,S,1
337,1,1,0,41.0,16966,134.5,C,0
338,1,3,1,45.0,7598,8.05,S,0
339,0,1,1,45.0,113784,35.5,S,0
340,1,2,1,2.0,230080,26.0,S,2
341,1,1,0,24.0,19950,263.0,S,5
342,0,2,1,28.0,248740,13.0,S,0
343,0,2,1,25.0,244361,13.0,S,0
344,0,2,1,36.0,229236,13.0,S,0
345,1,2,0,24.0,248733,13.0,S,0
346,1,2,0,40.0,31418,13.0,S,0
347,1,3,0,29.69911764705882,386525,16.1,S,1
348,1,3,1,3.0,C.A. 37671,15.9,S,2
349,0,3,1,42.0,315088,8.6625,S,0
350,0,3,1,23.0,7267,9.225,S,0
351,0,1,1,29.69911764705882,113510,35.0,S,0
352,0,3,1,15.0,2695,7.2292,C,2
353,0,3,1,25.0,349237,17.8,S,1
354,0,3,1,29.69911764705882,2647,7.225,C,0
355,0,3,1,28.0,345783,9.5,S,0
356,1,1,0,22.0,113505,55.0,S,1
357,0,2,0,38.0,237671,13.0,S,0
358,1,3,0,29.69911764705882,330931,7.8792,Q,0
359,1,3,0,29.69911764705882,330980,7.8792,Q,0
360,0,3,1,40.0,347088,27.9,S,5
361,0,2,1,29.0,SC/PARIS 2167,27.7208,C,1
362,0,3,0,45.0,2691,14.4542,C,1
363,0,3,1,35.0,SOTON/O.Q. 3101310,7.05,S,0
364,0,3,1,29.69911764705882,370365,15.5,Q,1
365,0,3,1,30.0,C 7076,7.25,S,0
366,1,1,0,60.0,110813,75.25,C,1
367,1,3,0,29.69911764705882,2626,7.2292,C,0
368,1,3,0,29.69911764705882,14313,7.75,Q,0
369,1,1,0,24.0,PC 17477,69.3,C,0
370,1,1,1,25.0,11765,55.4417,C,1
371,0,3,1,18.0,3101267,6.4958,S,1
372,0,3,1,19.0,323951,8.05,S,0
373,0,1,1,22.0,PC 17760,135.6333,C,0
374,0,3,0,3.0,349909,21.075,S,4
375,1,1,0,29.69911764705882,PC 17604,82.1708,C,1
376,1,3,0,22.0,C 7077,7.25,S,0
377,0,1,1,27.0,113503,211.5,C,2
378,0,3,1,20.0,2648,4.0125,C,0
379,0,3,1,19.0,347069,7.775,S,0
380,1,1,0,42.0,PC 17757,227.525,C,0
381,1,3,0,1.0,2653,15.7417,C,2
382,0,3,1,32.0,STON/O 2. 3101293,7.925,S,0
383,1,1,0,35.0,113789,52.0,S,1
384,0,3,1,29.69911764705882,349227,7.8958,S,0
385,0,2,1,18.0,S.O.C. 14879,73.5,S,0
386,0,3,1,1.0,CA 2144,46.9,S,7
387,1,2,0,36.0,27849,13.0,S,0
388,0,3,1,29.69911764705882,367655,7.7292,Q,0
389,1,2,0,17.0,SC 1748,12.0,C,0
390,1,1,1,36.0,113760,120.0,S,3
391,1,3,1,21.0,350034,7.7958,S,0
392,0,3,1,28.0,3101277,7.925,S,2
393,1,1,0,23.0,35273,113.275,C,1
394,1,3,0,24.0,PP 9549,16.7,S,2
395,0,3,1,22.0,350052,7.7958,S,0
396,0,3,0,31.0,350407,7.8542,S,0
397,0,2,1,46.0,28403,26.0,S,0
398,0,2,1,23.0,244278,10.5,S,0
399,1,2,0,28.0,240929,12.65,S,0
400,1,3,1,39.0,STON/O 2. 3101289,7.925,S,0
401,0,3,1,26.0,341826,8.05,S,0
402,0,3,0,21.0,4137,9.825,S,1
403,0,3,1,28.0,STON/O2. 3101279,15.85,S,1
404,0,3,0,20.0,315096,8.6625,S,0
405,0,2,1,34.0,28664,21.0,S,1
406,0,3,1,51.0,347064,7.75,S,0
407,1,2,1,3.0,29106,18.75,S,2
408,0,3,1,21.0,312992,7.775,S,0
409,0,3,0,29.69911764705882,4133,25.4667,S,4
410,0,3,1,29.69911764705882,349222,7.8958,S,0
411,0,3,1,29.69911764705882,394140,6.8583,Q,0
412,1,1,0,33.0,19928,90.0,Q,1
413,0,2,1,29.69911764705882,239853,0.0,S,0
414,1,3,1,44.0,STON/O 2. 3101269,7.925,S,0
415,0,3,0,29.69911764705882,343095,8.05,S,0
416,1,2,0,34.0,28220,32.5,S,2
417,1,2,0,18.0,250652,13.0,S,2
418,0,2,1,30.0,28228,13.0,S,0
419,0,3,0,10.0,345773,24.15,S,2
420,0,3,1,29.69911764705882,349254,7.8958,C,0
421,0,3,1,21.0,A/5. 13032,7.7333,Q,0
422,0,3,1,29.0,315082,7.875,S,0
423,0,3,0,28.0,347080,14.4,S,2
424,0,3,1,18.0,370129,20.2125,S,2
425,0,3,1,29.69911764705882,A/4. 34244,7.25,S,0
426,1,2,0,28.0,2003,26.0,S,1
427,1,2,0,19.0,250655,26.0,S,0
428,0,3,1,29.69911764705882,364851,7.75,Q,0
429,1,3,1,32.0,SOTON/O.Q. 392078,8.05,S,0
430,1,1,1,28.0,110564,26.55,S,0
431,1,3,0,29.69911764705882,376564,16.1,S,1
432,1,2,0,42.0,SC/AH 3085,26.0,S,1
433,0,3,1,17.0,STON/O 2. 3101274,7.125,S,0
434,0,1,1,50.0,13507,55.9,S,1
435,1,1,0,14.0,113760,120.0,S,3
436,0,3,0,21.0,W./C. 6608,34.375,S,4
437,1,2,0,24.0,29106,18.75,S,5
438,0,1,1,64.0,19950,263.0,S,5
439,0,2,1,31.0,C.A. 18723,10.5,S,0
440,1,2,0,45.0,F.C.C. 13529,26.25,S,2
441,0,3,1,20.0,345769,9.5,S,0
442,0,3,1,25.0,347076,7.775,S,1
443,1,2,0,28.0,230434,13.0,S,0
444,1,3,1,29.69911764705882,65306,8.1125,S,0
445,1,1,1,4.0,33638,81.8583,S,2
446,1,2,0,13.0,250644,19.5,S,1
447,1,1,1,34.0,113794,26.55,S,0
448,1,3,0,5.0,2666,19.2583,C,3
449,1,1,1,52.0,113786,30.5,S,0
450,0,2,1,36.0,C.A. 34651,27.75,S,3
451,0,3,1,29.69911764705882,65303,19.9667,S,1
452,0,1,1,30.0,113051,27.75,C,0
453,1,1,1,49.0,17453,89.1042,C,1
454,0,3,1,29.69911764705882,A/5 2817,8.05,S,0
455,1,3,1,29.0,349240,7.8958,C,0
456,0,1,1,65.0,13509,26.55,S,0
457,1,1,0,29.69911764705882,17464,51.8625,S,1
458,1,2,0,50.0,F.C.C. 13531,10.5,S,0
459,0,3,1,29.69911764705882,371060,7.75,Q,0
460,1,1,1,48.0,19952,26.55,S,0
461,0,3,1,34.0,364506,8.05,S,0
462,0,1,1,47.0,111320,38.5,S,0
463,0,2,1,48.0,234360,13.0,S,0
464,0,3,1,29.69911764705882,A/S 2816,8.05,S,0
465,0,3,1,38.0,SOTON/O.Q. 3101306,7.05,S,0
466,0,2,1,29.69911764705882,239853,0.0,S,0
467,0,1,1,56.0,113792,26.55,S,0
468,0,3,1,29.69911764705882,36209,7.725,Q,0
469,1,3,0,0.75,2666,19.2583,C,3
470,0,3,1,29.69911764705882,323592,7.25,S,0
471,0,3,1,38.0,315089,8.6625,S,0
472,1,2,0,33.0,C.A. 34651,27.75,S,3
473,1,2,0,23.0,SC/AH Basle 541,13.7917,C,0
474,0,3,0,22.0,7553,9.8375,S,0
475,0,1,1,29.69911764705882,110465,52.0,S,0
476,0,2,1,34.0,31027,21.0,S,1
477,0,3,1,29.0,3460,7.0458,S,1
478,0,3,1,22.0,350060,7.5208,S,0
479,1,3,0,2.0,3101298,12.2875,S,1
480,0,3,1,9.0,CA 2144,46.9,S,7
481,0,2,1,29.69911764705882,239854,0.0,S,0
482,0,3,1,50.0,A/5 3594,8.05,S,0
483,1,3,0,63.0,4134,9.5875,S,0
484,1,1,1,25.0,11967,91.0792,C,1
485,0,3,0,29.69911764705882,4133,25.4667,S,4
486,1,1,0,35.0,19943,90.0,S,1
487,0,1,1,58.0,11771,29.7,C,0
488,0,3,1,30.0,A.5. 18509,8.05,S,0
489,1,3,1,9.0,C.A. 37671,15.9,S,2
490,0,3,1,29.69911764705882,65304,19.9667,S,1
491,0,3,1,21.0,SOTON/OQ 3101317,7.25,S,0
492,0,1,1,55.0,113787,30.5,S,0
493,0,1,1,71.0,PC 17609,49.5042,C,0
494,0,3,1,21.0,A/4 45380,8.05,S,0
495,0,3,1,29.69911764705882,2627,14.4583,C,0
496,1,1,0,54.0,36947,78.2667,C,1
497,0,3,1,29.69911764705882,C.A. 6212,15.1,S,0
498,0,1,0,25.0,113781,151.55,S,3
499,0,3,1,24.0,350035,7.7958,S,0
500,0,3,1,17.0,315086,8.6625,S,0
501,0,3,0,21.0,364846,7.75,Q,0
502,0,3,0,29.69911764705882,330909,7.6292,Q,0
503,0,3,0,37.0,4135,9.5875,S,0
504,1,1,0,16.0,110152,86.5,S,0
505,0,1,1,18.0,PC 17758,108.9,C,1
506,1,2,0,33.0,26360,26.0,S,2
507,1,1,1,29.69911764705882,111427,26.55,S,0
508,0,3,1,28.0,C 4001,22.525,S,0
509,1,3,1,26.0,1601,56.4958,S,0
510,1,3,1,29.0,382651,7.75,Q,0
511,0,3,1,29.69911764705882,SOTON/OQ 3101316,8.05,S,0
512,1,1,1,36.0,PC 17473,26.2875,S,0
513,1,1,0,54.0,PC 17603,59.4,C,1
514,0,3,1,24.0,349209,7.4958,S,0
515,0,1,1,47.0,36967,34.0208,S,0
516,1,2,0,34.0,C.A. 34260,10.5,S,0
517,0,3,1,29.69911764705882,371110,24.15,Q,0
518,1,2,0,36.0,226875,26.0,S,1
519,0,3,1,32.0,349242,7.8958,S,0
520,1,1,0,30.0,12749,93.5,S,0
521,0,3,1,22.0,349252,7.8958,S,0
522,0,3,1,29.69911764705882,2624,7.225,C,0
523,1,1,0,44.0,111361,57.9792,C,1
524,0,3,1,29.69911764705882,2700,7.2292,C,0
525,0,3,1,40.5,367232,7.75,Q,0
526,1,2,0,50.0,W./C. 14258,10.5,S,0
527,0,1,1,29.69911764705882,PC 17483,221.7792,S,0
528,0,3,1,39.0,3101296,7.925,S,0
529,0,2,1,23.0,29104,11.5,S,3
530,1,2,0,2.0,26360,26.0,S,2
531,0,3,1,29.69911764705882,2641,7.2292,C,0
532,0,3,1,17.0,2690,7.2292,C,2
533,1,3,0,29.69911764705882,2668,22.3583,C,2
534,0,3,0,30.0,315084,8.6625,S,0
535,1,2,0,7.0,F.C.C. 13529,26.25,S,2
536,0,1,1,45.0,113050,26.55,S,0
537,1,1,0,30.0,PC 17761,106.425,C,0
538,0,3,1,29.69911764705882,364498,14.5,S,0
539,1,1,0,22.0,13568,49.5,C,2
540,1,1,0,36.0,WE/P 5735,71.0,S,2
541,0,3,0,9.0,347082,31.275,S,6
